pairid	q_acc	r_acc	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular	syn2b_legacy_adjacency	syn2b_junctions	status	syn2b_rev_breakpoints	syn2b_rev_scj_distance	syn2b_rev_breakpoint_density	syn2b_rev_inverted_fraction	syn2b_rev_raw_inverted_fraction	syn2b_rev_orientation_mismatches	syn2b_rev_orientation_mismatches_raw	syn2b_rev_orientation_uninformative	syn2b_rev_observable_fraction	syn2b_rev_observable_adjacencies	syn2b_rev_structural	syn2b_rev_shared_tags	syn2b_rev_repeats_dropped	syn2b_rev_landmarks_collapsed	syn2b_rev_circular	syn2b_rev_legacy_adjacency	syn2b_rev_junctions	reverse_status	syn2b_scj_corrected	syn2b_hidden_a	syn2b_hidden_b
GCF_006715835.1__GCF_013408335.1	GCF_006715835.1	GCF_013408335.1	2	26	0.00794	0.07937	0.07937	20	20	0	1.0000	252	0.9019	252	34	0	true	0.0015	335070,3967912	ok	2	26	0.00794	0.07937	0.07937	20	20	0	1.0000	252	0.9019	252	34	0	true	0.0015	1911245,2193348	ok	26.00	0.00	0.00
GCA_902544135.1__GCA_902541315.1	GCA_902544135.1	GCA_902541315.1	0	26	0.00000	0.43158	0.56842	41	54	0	0.7945	58	0.7111	95	0	0	false	0.0081		ok	0	26	0.00000	0.43158	0.56842	41	54	0	0.7531	61	0.7111	95	0	0	false	0.0081		ok	-9.00	15.00	20.00
GCA_900548775.1__GCA_902773995.1	GCA_900548775.1	GCA_902773995.1	2	39	0.01058	0.48677	0.48677	92	92	0	0.8382	114	0.7532	189	4	0	false	0.0206	811358,1430034	ok	2	39	0.01058	0.48677	0.48677	92	92	0	0.8085	114	0.7532	189	4	0	false	0.0206	64428,1255920	ok	-10.01	22.01	27.00
GCF_000220565.1__GCA_018222585.1	GCF_000220565.1	GCA_018222585.1	0	113	0.00000	0.45489	0.54511	121	145	0	0.4066	98	0.5369	266	10	0	false	0.0024		ok	0	113	0.00000	0.45489	0.54511	121	145	0	0.9701	130	0.5369	266	10	0	false	0.0024		ok	-34.03	143.02	4.01
GCA_004211905.1__GCA_002685195.1	GCA_004211905.1	GCA_002685195.1	0	30	0.00000	0.40845	0.40845	58	58	0	0.8776	86	0.7541	142	10	0	false	0.0082		ok	0	30	0.00000	0.40845	0.40845	58	58	0	0.6897	80	0.7541	142	10	0	false	0.0082		ok	-17.99	11.99	35.99
GCF_008011665.1__GCF_008245025.1	GCF_008011665.1	GCF_008245025.1	0	5	0.00000	0.22222	0.77778	2	7	0	0.2500	2	0.3750	9	14	0	false	0.0013		ok	0	5	0.00000	0.22222	0.77778	2	7	0	1.0000	3	0.3750	9	14	0	false	0.0013		ok	-1.00	6.00	0.00
GCF_002741105.1__GCF_900115695.1	GCF_002741105.1	GCF_900115695.1	1	23	0.00316	0.36076	0.36076	114	114	0	0.9864	290	0.9256	316	25	0	false	0.0038	1203705	ok	2	23	0.00633	0.36076	0.36076	114	114	0	0.9635	290	0.9256	316	25	0	false	0.0038	1238334,4659692	ok	8.02	4.00	10.99
GCF_003425685.1__GCF_017877055.1	GCF_003425685.1	GCF_017877055.1	3	25	0.06122	0.48980	0.48980	24	24	0	0.5610	23	0.4681	49	25	0	false	0.0003	1489597,1804651,4633999	ok	2	25	0.04082	0.48980	0.48980	24	24	0	0.9286	26	0.4681	49	25	0	false	0.0003	3895473,5734215	ok	5.00	18.00	2.00
GCF_003054165.1__GCA_019192965.1	GCF_003054165.1	GCA_019192965.1	0	31	0.00000	0.47059	0.47059	32	32	0	0.6739	31	0.5000	68	12	0	false	0.0002		ok	1	31	0.01471	0.47059	0.47059	32	32	0	0.7021	33	0.5000	68	12	0	false	0.0002	188813	ok	2.00	15.00	14.00
GCF_002243645.1__GCF_001645685.2	GCF_002243645.1	GCF_001645685.2	0	0	0.00000	0.00000	1.00000	0	55	0	1.0000	55	1.0000	55	39	0	true	0.0000		ok	0	0	0.00000	0.00000	1.00000	0	55	0	1.0000	55	1.0000	55	39	0	true	0.0000		ok	0.00	0.00	0.00
GCA_004293365.1__GCA_013299165.1	GCA_004293365.1	GCA_013299165.1	12	143	0.04478	0.47015	0.52985	126	142	0	0.5251	115	0.4436	268	71	0	false	0.0007	311718,738596,1034520,1118083,2109951,2159555,2385739,2678714,3929750,4077127,4944962,6094619	ok	8	143	0.02985	0.47015	0.52985	126	142	0	0.8882	135	0.4436	268	71	0	false	0.0007	232868,2274185,3658692,4023047,5069662,5609761,5634554,5689555	ok	22.00	104.01	16.99
GCF_000425985.1__GCF_000455825.1	GCF_000425985.1	GCF_000455825.1	0	23	0.00000	0.48421	0.51579	46	49	0	0.9028	65	0.7386	95	19	0	false	0.0003		ok	0	23	0.00000	0.48421	0.51579	46	49	0	0.7901	64	0.7386	95	19	0	false	0.0003		ok	-1.00	7.00	17.00
GCF_003031675.1__GCF_001647715.1	GCF_003031675.1	GCF_001647715.1	1	50	0.00535	0.47594	0.47594	89	89	0	0.6989	130	0.7340	187	27	0	false	0.0011	2559313	ok	0	50	0.00000	0.47594	0.47594	89	89	0	0.9929	139	0.7340	187	27	0	false	0.0011		ok	-7.00	56.01	0.99
GCF_002549775.1__GCA_003449675.1	GCF_002549775.1	GCA_003449675.1	0	15	0.00000	0.44118	0.44118	15	15	0	1.0000	10	0.3750	34	10	0	false	0.0018		ok	1	15	0.02941	0.44118	0.44118	15	15	0	0.3913	9	0.3750	34	10	0	false	0.0018	779933	ok	1.00	0.00	14.00
GCA_003209755.1__GCA_003280445.1	GCA_003209755.1	GCA_003280445.1	0	17	0.00000	0.44828	0.44828	26	26	0	0.6970	23	0.6136	58	7	0	false	0.0006		ok	0	17	0.00000	0.44828	0.44828	26	26	0	0.5789	22	0.6136	58	7	0	false	0.0006		ok	-9.00	10.00	16.00
GCA_902625035.1__GCA_902624635.1	GCA_902625035.1	GCA_902624635.1	0	13	0.00000	0.31373	0.68627	16	35	0	0.7250	29	0.7045	51	0	0	false	0.0010		ok	0	13	0.00000	0.31373	0.68627	16	35	0	0.8571	30	0.7045	51	0	0	false	0.0010		ok	-3.00	11.00	5.00
