pairid	q_acc	r_acc	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular	syn2b_legacy_adjacency	syn2b_junctions	status	syn2b_rev_breakpoints	syn2b_rev_scj_distance	syn2b_rev_breakpoint_density	syn2b_rev_inverted_fraction	syn2b_rev_raw_inverted_fraction	syn2b_rev_orientation_mismatches	syn2b_rev_orientation_mismatches_raw	syn2b_rev_orientation_uninformative	syn2b_rev_observable_fraction	syn2b_rev_observable_adjacencies	syn2b_rev_structural	syn2b_rev_shared_tags	syn2b_rev_repeats_dropped	syn2b_rev_landmarks_collapsed	syn2b_rev_circular	syn2b_rev_legacy_adjacency	syn2b_rev_junctions	reverse_status	syn2b_scj_corrected	syn2b_hidden_a	syn2b_hidden_b
GCF_006715835.1__GCF_013408335.1	GCF_006715835.1	GCF_013408335.1	4	8	0.04651	0.08140	0.08140	7	7	0	1.0000	86	0.9111	86	9	0	true	0.0010	81383,335070,3702004,3967912	ok	4	8	0.04651	0.08140	0.08140	7	7	0	1.0000	86	0.9111	86	9	0	true	0.0010	1901342,2176956,5427005,5497517	ok	8.00	0.00	0.00
GCA_902544135.1__GCA_902541315.1	GCA_902544135.1	GCA_902541315.1	0	9	0.00000	0.29630	0.70370	8	19	0	0.5333	8	0.5500	27	0	0	false	0.0056		ok	0	9	0.00000	0.29630	0.70370	8	19	0	0.5625	9	0.5500	27	0	0	false	0.0056		ok	-5.00	7.00	7.00
GCA_900548775.1__GCA_902773995.1	GCA_900548775.1	GCA_902773995.1	0	15	0.00000	0.42373	0.57627	25	34	0	0.5769	15	0.5588	59	0	0	false	0.0111		ok	0	15	0.00000	0.42373	0.57627	25	34	0	0.5926	16	0.5588	59	0	0	false	0.0111		ok	-7.00	11.00	11.00
GCF_000220565.1__GCA_018222585.1	GCF_000220565.1	GCA_018222585.1	0	39	0.00000	0.44737	0.44737	34	34	0	0.2069	12	0.3390	76	9	0	false	0.0037		ok	0	39	0.00000	0.44737	0.44737	34	34	0	0.8095	17	0.3390	76	9	0	false	0.0037		ok	-11.00	46.00	4.00
GCA_004211905.1__GCA_002685195.1	GCA_004211905.1	GCA_002685195.1	0	12	0.00000	0.50000	0.50000	20	20	0	0.6875	11	0.5200	40	1	0	false	0.0031		ok	0	12	0.00000	0.50000	0.50000	20	20	0	0.2727	6	0.5200	40	1	0	false	0.0031		ok	-9.00	5.00	16.00
GCF_008011665.1__GCF_008245025.1	GCF_008011665.1	GCF_008245025.1	0	2	0.00000	0.33333	0.66667	1	2	0	0.0000	0	0.0000	3	4	0	false	0.0000		ok	0	2	0.00000	0.33333	0.66667	1	2	0	0.0000	0	0.0000	3	4	0	false	0.0000		ok			
GCF_002741105.1__GCF_900115695.1	GCF_002741105.1	GCF_900115695.1	0	14	0.00000	0.31000	0.31000	31	31	0	0.9500	76	0.8444	100	9	0	false	0.0053		ok	0	14	0.00000	0.31000	0.31000	31	31	0	0.8605	74	0.8444	100	9	0	false	0.0053		ok	-2.00	4.00	12.00
GCF_003425685.1__GCF_017877055.1	GCF_003425685.1	GCF_017877055.1	0	5	0.00000	0.43750	0.43750	7	7	0	0.0000	0	0.3750	16	10	0	false	0.0000		ok	0	5	0.00000	0.43750	0.43750	7	7	0	1.0000	3	0.3750	16	10	0	false	0.0000		ok			
GCF_003054165.1__GCA_019192965.1	GCF_003054165.1	GCA_019192965.1	0	8	0.00000	0.47368	0.47368	9	9	0	0.0000	0	0.1111	19	2	0	false	0.0000		ok	0	8	0.00000	0.47368	0.47368	9	9	0	0.3333	1	0.1111	19	2	0	false	0.0000		ok			
GCF_002243645.1__GCF_001645685.2	GCF_002243645.1	GCF_001645685.2	0	0	0.00000	0.00000	1.00000	0	17	0	1.0000	17	1.0000	17	11	0	true	0.0000		ok	0	0	0.00000	0.00000	1.00000	0	17	0	1.0000	17	1.0000	17	11	0	true	0.0000		ok	0.00	0.00	0.00
