pairid	q_acc	r_acc	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular	syn2b_legacy_adjacency	syn2b_junctions	status	syn2b_rev_breakpoints	syn2b_rev_scj_distance	syn2b_rev_breakpoint_density	syn2b_rev_inverted_fraction	syn2b_rev_raw_inverted_fraction	syn2b_rev_orientation_mismatches	syn2b_rev_orientation_mismatches_raw	syn2b_rev_orientation_uninformative	syn2b_rev_observable_fraction	syn2b_rev_observable_adjacencies	syn2b_rev_structural	syn2b_rev_shared_tags	syn2b_rev_repeats_dropped	syn2b_rev_landmarks_collapsed	syn2b_rev_circular	syn2b_rev_legacy_adjacency	syn2b_rev_junctions	reverse_status	syn2b_scj_corrected	syn2b_hidden_a	syn2b_hidden_b
GCF_006715835.1__GCF_013408335.1	GCF_006715835.1	GCF_013408335.1	2	26	0.00601	0.08709	0.08709	29	29	0	1.0000	333	0.9249	333	47	0	true	0.0029	335070,3967912	ok	2	26	0.00601	0.08709	0.08709	29	29	0	1.0000	333	0.9249	333	47	0	true	0.0029	1911245,2214027	ok	26.00	0.00	0.00
GCA_902544135.1__GCA_902541315.1	GCA_902544135.1	GCA_902541315.1	0	26	0.00000	0.42017	0.57983	50	69	0	0.8866	86	0.7719	119	0	0	false	0.0086		ok	0	26	0.00000	0.42017	0.57983	50	69	0	0.8190	86	0.7719	119	0	0	false	0.0086		ok	-4.01	11.00	19.01
GCA_900548775.1__GCA_902773995.1	GCA_900548775.1	GCA_902773995.1	2	48	0.00889	0.49333	0.49333	111	111	0	0.8466	138	0.7474	225	5	0	false	0.0178	811358,1436716	ok	2	48	0.00889	0.49333	0.49333	111	111	0	0.8166	138	0.7474	225	5	0	false	0.0178	64428,1255920	ok	-8.00	25.00	30.99
GCF_000220565.1__GCA_018222585.1	GCF_000220565.1	GCA_018222585.1	1	133	0.00296	0.47041	0.52959	159	179	0	0.4808	150	0.5818	338	12	0	false	0.0029	75914	ok	2	133	0.00592	0.47041	0.52959	159	179	0	0.9738	186	0.5818	338	12	0	false	0.0029	3777119,3780728	ok	-33.98	161.98	5.00
GCA_004211905.1__GCA_002685195.1	GCA_004211905.1	GCA_002685195.1	0	36	0.00000	0.41530	0.41530	76	76	0	0.8971	122	0.7805	183	12	0	false	0.0104		ok	0	36	0.00000	0.41530	0.41530	76	76	0	0.7564	118	0.7805	183	12	0	false	0.0104		ok	-16.00	13.99	38.00
GCF_008011665.1__GCF_008245025.1	GCF_008011665.1	GCF_008245025.1	0	6	0.00000	0.25000	0.75000	3	9	0	0.2727	3	0.4545	12	17	0	false	0.0011		ok	0	6	0.00000	0.25000	0.75000	3	9	0	1.0000	5	0.4545	12	17	0	false	0.0011		ok	-2.00	8.00	0.00
GCF_002741105.1__GCF_900115695.1	GCF_002741105.1	GCF_900115695.1	1	29	0.00250	0.34500	0.34500	138	138	0	0.9868	373	0.9268	400	33	0	false	0.0044	1203705	ok	2	29	0.00500	0.34500	0.34500	138	138	0	0.9662	372	0.9268	400	33	0	false	0.0044	1238334,4659692	ok	11.00	4.99	13.01
GCF_003425685.1__GCF_017877055.1	GCF_003425685.1	GCF_017877055.1	4	28	0.06349	0.47619	0.47619	30	30	0	0.6545	36	0.5484	63	28	0	false	0.0002	879612,1537605,1804651,4633999	ok	2	28	0.03175	0.47619	0.47619	30	30	0	0.9512	39	0.5484	63	28	0	false	0.0002	3895473,5790746	ok	7.00	19.00	2.00
GCF_003054165.1__GCA_019192965.1	GCF_003054165.1	GCA_019192965.1	0	38	0.00000	0.48913	0.48913	45	45	0	0.7429	52	0.5730	92	13	0	false	0.0002		ok	1	38	0.01087	0.48913	0.48913	45	45	0	0.7429	52	0.5730	92	13	0	false	0.0002	188813	ok	2.01	18.00	18.00
GCF_002243645.1__GCF_001645685.2	GCF_002243645.1	GCF_001645685.2	0	0	0.00000	0.00000	1.00000	0	58	0	1.0000	58	1.0000	58	56	0	true	0.0008		ok	0	0	0.00000	0.00000	1.00000	0	58	0	1.0000	58	1.0000	58	56	0	true	0.0008		ok	0.00	0.00	0.00
GCA_004293365.1__GCA_013299165.1	GCA_004293365.1	GCA_013299165.1	15	175	0.04518	0.48193	0.51807	160	172	0	0.6028	170	0.4745	332	93	0	false	0.0009	311718,738596,926560,1034520,1118083,2109951,2159555,2385739,2678714,3829725,3929750,4077127,4944962,5626250,6216462	ok	10	175	0.03012	0.48193	0.51807	160	172	0	0.8995	188	0.4745	332	93	0	false	0.0009	232868,2279216,2902295,3658692,4023047,5069662,5413698,5609761,5634554,5689555	ok	41.98	112.02	21.01
GCF_000425985.1__GCF_000455825.1	GCF_000425985.1	GCF_000455825.1	0	28	0.00000	0.49618	0.50382	65	66	0	0.9320	96	0.7742	131	25	0	false	0.0006		ok	0	28	0.00000	0.49618	0.50382	65	66	0	0.8034	94	0.7742	131	25	0	false	0.0006		ok	-2.01	7.00	23.00
GCF_003031675.1__GCF_001647715.1	GCF_003031675.1	GCF_001647715.1	1	61	0.00410	0.49590	0.49590	121	121	0	0.7449	181	0.7530	244	36	0	false	0.0010	2559313	ok	0	61	0.00000	0.49590	0.49590	121	121	0	0.9947	189	0.7530	244	36	0	false	0.0010		ok	-1.99	61.99	1.01
GCF_002549775.1__GCA_003449675.1	GCF_002549775.1	GCA_003449675.1	0	23	0.00000	0.43902	0.43902	18	18	0	1.0000	11	0.2812	41	12	0	false	0.0014		ok	2	23	0.04878	0.43902	0.43902	18	18	0	0.3000	9	0.2812	41	12	0	false	0.0014	796874,2440605	ok	2.00	0.00	21.00
