query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count
Citrobacter_rodentium	Citrobacter_rodentium	99.9999	99.9999	0.9979	0.9979	0.20803	14	0.9506	381
Citrobacter_rodentium	Ecoli_BL21_DE3	77.9088	86.7649	0.2822	0.3304	0.22795	22	0.4756	269
Citrobacter_rodentium	Ecoli_CFT073	81.5237	87.8830	0.2052	0.2080	0.24238	24	0.4137	309
Citrobacter_rodentium	Ecoli_K12_MG1655	78.2902	86.6195	0.3133	0.3555	0.21912	24	0.5241	237
Citrobacter_rodentium	Ecoli_K12_W3110	78.5409	86.7154	0.2999	0.3425	0.22167	23	0.5141	242
Citrobacter_rodentium	Ecoli_O157H7_Sakai	76.4320	87.4423	0.2445	0.2375	0.23201	25	0.4407	302
Citrobacter_rodentium	Ecoli_UTI89	80.3840	88.5989	0.2057	0.2164	0.22635	26	0.4625	287
Citrobacter_rodentium	Enterobacter_cloacae_13047	81.0290	87.2526	0.1572	0.1555	0.29714	14	0.3575	266
Citrobacter_rodentium	Escherichia_fergusonii	81.3958	88.7526	0.1175	0.1378	0.29923	18	0.2998	334
Citrobacter_rodentium	GCA_001075925	96.8397	96.8397	0.0098	0.0046	0.40635	7	0.0688	731
Citrobacter_rodentium	Klebsiella_pneumoniae_MGH78578	83.4350	86.9760	0.1852	0.1815	0.27374	18	0.4107	254
Citrobacter_rodentium	Salmonella_Typhi_CT18	81.8094	87.1757	0.2420	0.2724	0.23558	23	0.4593	279
Citrobacter_rodentium	Salmonella_Typhimurium_LT2	81.5129	87.2646	0.2910	0.3229	0.21351	21	0.5173	265
Citrobacter_rodentium	Shigella_flexneri_301	77.9807	87.8105	0.1473	0.1702	0.29129	15	0.3069	323
Citrobacter_rodentium	Shigella_sonnei_Ss046	79.8345	87.5008	0.2111	0.2334	0.24894	25	0.4189	283
Ecoli_BL21_DE3	Citrobacter_rodentium	79.7110	87.5400	0.3094	0.2640	0.23246	22	0.4659	274
Ecoli_BL21_DE3	Ecoli_BL21_DE3	99.9999	99.9999	0.9993	0.9993	0.22972	3	0.8939	715
Ecoli_BL21_DE3	Ecoli_CFT073	96.8852	97.5456	0.9221	0.8250	0.04257	34	0.8849	560
Ecoli_BL21_DE3	Ecoli_K12_MG1655	99.0990	99.3733	0.9489	0.9744	0.01928	17	0.8754	761
Ecoli_BL21_DE3	Ecoli_K12_W3110	99.0982	99.3727	0.9489	0.9745	0.01929	17	0.8752	762
Ecoli_BL21_DE3	Ecoli_O157H7_Sakai	98.1399	98.5329	0.9116	0.8447	0.03128	32	0.8468	869
Ecoli_BL21_DE3	Ecoli_UTI89	96.8124	97.4725	0.9305	0.8867	0.04325	34	0.9041	456
Ecoli_BL21_DE3	Enterobacter_cloacae_13047	84.7121	88.9808	0.1063	0.0896	0.34486	13	0.3294	230
Ecoli_BL21_DE3	Escherichia_fergusonii	91.2588	94.3860	0.6640	0.6789	0.08362	52	0.7880	523
Ecoli_BL21_DE3	GCA_001075925	98.0127	98.1981	0.6786	0.3469	0.03758	350	0.6978	1640
Ecoli_BL21_DE3	Klebsiella_pneumoniae_MGH78578	77.9202	87.6562	0.1264	0.1117	0.35117	13	0.3323	213
Ecoli_BL21_DE3	Salmonella_Typhi_CT18	81.3416	87.8261	0.2230	0.2139	0.26781	18	0.2967	429
Ecoli_BL21_DE3	Salmonella_Typhimurium_LT2	79.8905	88.2254	0.2252	0.2182	0.25727	16	0.2618	516
Ecoli_BL21_DE3	Shigella_flexneri_301	98.0767	98.6237	0.8530	0.8864	0.03138	52	0.8639	704
Ecoli_BL21_DE3	Shigella_sonnei_Ss046	98.5254	98.8942	0.8650	0.9112	0.02719	53	0.8768	665
Ecoli_CFT073	Citrobacter_rodentium	82.6804	88.2898	0.2080	0.2052	0.24341	24	0.4137	309
Ecoli_CFT073	Ecoli_BL21_DE3	96.8226	97.5170	0.8040	0.9542	0.04277	32	0.8854	558
Ecoli_CFT073	Ecoli_CFT073	99.9999	99.9999	0.9988	0.9988	0.21550	17	0.9387	450
Ecoli_CFT073	Ecoli_K12_MG1655	96.9436	97.5612	0.7946	0.9524	0.04249	30	0.8843	562
Ecoli_CFT073	Ecoli_K12_W3110	96.9426	97.5594	0.7925	0.9501	0.04254	32	0.8839	564
Ecoli_CFT073	Ecoli_O157H7_Sakai	96.7494	97.4577	0.8059	0.8433	0.04329	44	0.8586	713
Ecoli_CFT073	Ecoli_UTI89	98.9744	99.3244	0.8915	0.9424	0.01926	43	0.9388	381
Ecoli_CFT073	Enterobacter_cloacae_13047	83.4786	88.1990	0.1059	0.1053	0.34439	15	0.3485	215
Ecoli_CFT073	Escherichia_fergusonii	91.5264	94.4486	0.5670	0.6614	0.08352	56	0.8192	431
Ecoli_CFT073	GCA_001075925	97.8322	98.0441	0.5938	0.3523	0.03956	367	0.6975	1599
Ecoli_CFT073	Klebsiella_pneumoniae_MGH78578	76.6783	87.5363	0.1227	0.1189	0.34104	12	0.3355	204
Ecoli_CFT073	Salmonella_Typhi_CT18	78.1008	88.1517	0.1508	0.1712	0.29147	17	0.3002	373
Ecoli_CFT073	Salmonella_Typhimurium_LT2	81.6486	88.5132	0.1420	0.1594	0.28529	15	0.2598	436
Ecoli_CFT073	Shigella_flexneri_301	96.5488	97.3505	0.7483	0.9011	0.04585	63	0.8733	575
Ecoli_CFT073	Shigella_sonnei_Ss046	96.6900	97.4691	0.7415	0.9007	0.04468	53	0.8762	567
Ecoli_K12_MG1655	Citrobacter_rodentium	80.1095	87.2182	0.3555	0.3133	0.22122	24	0.5241	237
Ecoli_K12_MG1655	Ecoli_BL21_DE3	99.0713	99.3686	0.9282	0.9669	0.01933	25	0.8750	763
Ecoli_K12_MG1655	Ecoli_CFT073	96.8903	97.5377	0.9043	0.8257	0.04264	33	0.8847	560
Ecoli_K12_MG1655	Ecoli_K12_MG1655	99.9999	99.9999	0.9996	0.9996	0.22785	1	0.8871	774
Ecoli_K12_MG1655	Ecoli_K12_W3110	99.9948	99.9948	0.9971	0.9971	0.00163	3	0.8867	776
Ecoli_K12_MG1655	Ecoli_O157H7_Sakai	98.1285	98.5163	0.9106	0.8435	0.03121	32	0.8468	881
Ecoli_K12_MG1655	Ecoli_UTI89	96.9177	97.5159	0.9043	0.8796	0.04279	32	0.9035	461
Ecoli_K12_MG1655	Enterobacter_cloacae_13047	81.9038	87.7396	0.1674	0.1471	0.31034	14	0.3923	206
Ecoli_K12_MG1655	Escherichia_fergusonii	90.9995	94.3475	0.6694	0.6908	0.08320	51	0.7915	520
Ecoli_K12_MG1655	GCA_001075925	98.0392	98.1965	0.6668	0.3495	0.03748	354	0.6946	1672
