query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count
Ecoli_CFT073	Ecoli_CFT073	99.9999	99.9999	0.9988	0.9988	0.21550	17	0.9387	450
Ecoli_CFT073	Ecoli_K12_MG1655	96.9436	97.5612	0.7946	0.9524	0.04249	30	0.8843	562
Ecoli_CFT073	Ecoli_K12_W3110	96.9426	97.5594	0.7925	0.9501	0.04254	32	0.8839	564
Ecoli_CFT073	Ecoli_O157H7_Sakai	96.7494	97.4577	0.8059	0.8433	0.04329	44	0.8586	713
Ecoli_CFT073	Ecoli_UTI89	98.9744	99.3244	0.8915	0.9424	0.01926	43	0.9388	381
Ecoli_K12_MG1655	Ecoli_CFT073	96.8903	97.5377	0.9043	0.8257	0.04264	33	0.8847	560
Ecoli_K12_MG1655	Ecoli_K12_MG1655	99.9999	99.9999	0.9996	0.9996	0.22785	1	0.8871	774
Ecoli_K12_MG1655	Ecoli_K12_W3110	99.9948	99.9948	0.9971	0.9971	0.00163	3	0.8867	776
Ecoli_K12_MG1655	Ecoli_O157H7_Sakai	98.1285	98.5163	0.9106	0.8435	0.03121	32	0.8468	881
Ecoli_K12_MG1655	Ecoli_UTI89	96.9177	97.5159	0.9043	0.8796	0.04279	32	0.9035	461
Ecoli_K12_W3110	Ecoli_CFT073	96.8611	97.5199	0.9020	0.8236	0.04284	35	0.8843	562
Ecoli_K12_W3110	Ecoli_K12_MG1655	99.9859	99.9859	0.9971	0.9971	0.00270	3	0.8867	776
Ecoli_K12_W3110	Ecoli_K12_W3110	99.9999	99.9999	0.9996	0.9996	0.22754	1	0.8870	774
Ecoli_K12_W3110	Ecoli_O157H7_Sakai	98.0925	98.5023	0.9081	0.8332	0.03140	35	0.8462	884
Ecoli_K12_W3110	Ecoli_UTI89	96.8786	97.5018	0.9041	0.8783	0.04292	34	0.9040	459
Ecoli_O157H7_Sakai	Ecoli_CFT073	96.7023	97.4340	0.7720	0.8225	0.04348	61	0.8551	731
Ecoli_O157H7_Sakai	Ecoli_K12_MG1655	98.0535	98.4973	0.7688	0.9117	0.03147	46	0.8440	897
Ecoli_O157H7_Sakai	Ecoli_K12_W3110	98.0501	98.4945	0.7669	0.9091	0.03152	48	0.8434	900
Ecoli_O157H7_Sakai	Ecoli_O157H7_Sakai	99.9999	99.9999	0.9903	0.9903	0.21443	40	0.8518	1239
Ecoli_O157H7_Sakai	Ecoli_UTI89	96.5715	97.3728	0.7838	0.8583	0.04397	57	0.8776	602
Ecoli_UTI89	Ecoli_CFT073	99.0212	99.3367	0.9175	0.9258	0.01910	44	0.9393	378
Ecoli_UTI89	Ecoli_K12_MG1655	96.9212	97.5185	0.8226	0.9507	0.04279	34	0.9029	464
Ecoli_UTI89	Ecoli_K12_W3110	96.9294	97.5228	0.8212	0.9471	0.04276	37	0.9031	463
Ecoli_UTI89	Ecoli_O157H7_Sakai	96.8410	97.4769	0.8249	0.8209	0.04317	54	0.8782	599
Ecoli_UTI89	Ecoli_UTI89	99.9999	99.9999	0.9994	0.9994	0.21925	12	0.9619	265
