Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	100.00	99.95	99.95	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_sonnei_Ss046.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.24	77.67	81.35	ENA|CP000038|CP000038.1 Shigella sonnei Ss046, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/draftbench/drafts/GCA_001077875.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.19	77.82	82.31	ENA|LFJZ01000001|LFJZ01000001.1 Escherichia coli strain KIC-2 contig0001, whole genome shotgun sequence.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/draftbench/drafts/GCA_001283245.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.15	74.23	82.84	ENA|CYEJ01000001|CYEJ01000001.1 Escherichia coli strain 300073 genome assembly, contig: ERS139243SCcontig000001	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_MG1655.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.06	81.67	82.28	ENA|U00096|U00096.3 Escherichia coli str. K-12 substr. MG1655, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.04	81.49	82.18	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/draftbench/drafts/GCA_001284145.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.04	74.47	83.25	ENA|CYEE01000001|CYEE01000001.1 Escherichia coli strain 200696 genome assembly, contig: ERS139201SCcontig000001	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/draftbench/drafts/GCA_001283605.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.00	74.69	82.77	ENA|CYDQ01000001|CYDQ01000001.1 Escherichia coli strain 602206 genome assembly, contig: ERS139222SCcontig000001	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_BL21_DE3.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	97.91	81.77	80.91	ENA|AM946981|AM946981.2 Escherichia coli BL21(DE3), complete genome	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/draftbench/drafts/GCA_001283205.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	97.68	70.63	83.60	ENA|CYEF01000001|CYEF01000001.1 Escherichia coli strain 402898 genome assembly, contig: ERS139234SCcontig000001	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
