Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	100.00	99.95	99.95	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_sonnei_Ss046.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.24	77.67	81.35	ENA|CP000038|CP000038.1 Shigella sonnei Ss046, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_MG1655.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.06	81.67	82.28	ENA|U00096|U00096.3 Escherichia coli str. K-12 substr. MG1655, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	98.04	81.49	82.18	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_BL21_DE3.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	97.91	81.77	80.91	ENA|AM946981|AM946981.2 Escherichia coli BL21(DE3), complete genome	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_O157H7_Sakai.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	97.58	68.86	82.18	ENA|BA000007|BA000007.3 Escherichia coli O157:H7 str. Sakai DNA, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/draftbench/drafts/GCA_001075925.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	96.66	48.93	78.43	ENA|JUNK01000004|JUNK01000004.1 Escherichia coli strain 924_ECOL 12_9138_110906, whole genome shotgun sequence.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	96.58	69.27	78.65	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_UTI89.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	96.45	70.75	77.79	ENA|CP000243|CP000243.1 Escherichia coli UTI89, complete genome.	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Escherichia_fergusonii.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Shigella_flexneri_301.fasta	91.77	47.37	47.18	ENA|CU928158|CU928158.2 Escherichia fergusonii ATCC 35469 chromosome, complete genome	ENA|AE005674|AE005674.2 Shigella flexneri 2a str. 301, complete genome.
