Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	100.00	100.00	100.00	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_UTI89.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	98.97	91.51	88.61	ENA|CP000243|CP000243.1 Escherichia coli UTI89, complete genome.	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	96.93	83.01	73.73	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_MG1655.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	96.93	83.19	73.81	ENA|U00096|U00096.3 Escherichia coli str. K-12 substr. MG1655, complete genome.	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_O157H7_Sakai.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	96.90	71.30	74.94	ENA|BA000007|BA000007.3 Escherichia coli O157:H7 str. Sakai DNA, complete genome.	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	100.00	100.00	100.00	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_MG1655.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	99.99	100.00	100.00	ENA|U00096|U00096.3 Escherichia coli str. K-12 substr. MG1655, complete genome.	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_O157H7_Sakai.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	98.07	74.42	88.07	ENA|BA000007|BA000007.3 Escherichia coli O157:H7 str. Sakai DNA, complete genome.	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_CFT073.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	96.93	73.73	83.01	ENA|AE014075|AE014075.1 Escherichia coli CFT073, complete genome.	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.
/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_UTI89.fasta	/Users/macstudio/Downloads/Syn2bANI/prototype/realbench/genomes/Ecoli_K12_W3110.fasta	96.93	76.30	83.19	ENA|CP000243|CP000243.1 Escherichia coli UTI89, complete genome.	ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.
